cnty,ExcessDrink_Percent,femalePOP165210D$10,hispanicPOP405210D$10,blackPOP255210D$10,forgnbornHC03_VC134ACS3yr$10,hsgradHC03_VC93ACS3yr$10,bachdegHC03_VC94ACS3yr$10,logincomeHC01_VC85ACS3yr$10,unemployAve_BLSLAUS$0910,marriedaveHC03_AC3yr$10,age_1to14,age_15to29,age_30to60,age_gte61,avg_zhs_zloginc
39155,19,51.4,1.3,8.3,1.6,86.9,16.3,4.61442,12.6999998092651,48.85,0.16955308600000002,0.175280989,0.4047190955,0.239749991,0.002197729840953011
39157,12,50.9,1.9,0.8,1.4,85.5,15.2,4.62172,10.8000001907349,56.7,0.1831371015,0.17728706900000002,0.4029673195,0.224492714,-0.13811168576265898
39159,22,52.8,1.3,2.4,2.7,90.8,29.1,4.81586,8.30000019073486,60.6,0.21483175399999999,0.1796473045,0.4545355045,0.1394220355,2.507111119919121
39165,19,49.7,2.2,3.3,5,91.3,36.5,4.83975,8.75,60.65,0.21803800349999997,0.1673424135,0.4454482605000001,0.1568751025,2.80980258715672
39167,12,51.2,0.7,1.1,1,88,15.1,4.62682,9.14999961853027,55.95,0.160876729,0.1814600235,0.4080980955,0.2397481415,0.28531744919256696
39169,10,50.6,1.6,1.5,1.6,86,18.4,4.67786,9.55000019073486,56.15,0.197029633,0.198234174,0.38937101300000004,0.20183732399999998,0.47199919109239097
39171,11,50.4,3.7,1,1.5,89.6,12.4,4.63598,14.1000003814697,57.45,0.1847377545,0.178107071,0.4105673285,0.21602792299999998,0.612515036311331
39173,19,51.1,4.5,2.4,2.7,92.5,29,4.72026,10.4499998092651,49.85,0.1662482495,0.267867756,0.38034621300000004,0.174866268,1.850688634883023
40001,11,50,5.3,0.2,2.5,75.5,9.5,4.43549,8.39999961853027,52.35,0.22027886,0.193865648,0.38956049699999995,0.18436585850000003,-3.4125835960289
40009,11,46.5,11.8,4,4.2,82,14.2,4.67262,5.65000009536743,46.1,0.19126843,0.2175410725,0.4042535875,0.171496405,-0.177652861236488
40013,9,51.1,5,1.5,2.5,83.2,20.4,4.5673,5.44999980926514,47.35,0.18125490900000002,0.22159877649999998,0.365195868,0.2176310625,-1.001692920974383
